image_name,vendor,root,slice,is_IRF,is_SRF,is_PED
TRAIN035,Spectralis,..\RETOUCHdata\Spectralis\TRAIN035,48,0,1,1
TRAIN017,Cirrus,..\RETOUCHdata\Cirrus\TRAIN017,61,1,0,1
TRAIN044,Spectralis,..\RETOUCHdata\Spectralis\TRAIN044,23,1,1,1
TRAIN001,Cirrus,..\RETOUCHdata\Cirrus\TRAIN001,17,1,0,0
TRAIN059,Topcon,..\RETOUCHdata\Topcon\TRAIN059,108,0,0,0
TRAIN059,Topcon,..\RETOUCHdata\Topcon\TRAIN059,40,1,0,0
TRAIN002,Cirrus,..\RETOUCHdata\Cirrus\TRAIN002,6,0,0,0
TRAIN015,Cirrus,..\RETOUCHdata\Cirrus\TRAIN015,33,0,1,1
TRAIN011,Cirrus,..\RETOUCHdata\Cirrus\TRAIN011,101,0,1,0
TRAIN057,Topcon,..\RETOUCHdata\Topcon\TRAIN057,96,0,1,1
TRAIN046,Spectralis,..\RETOUCHdata\Spectralis\TRAIN046,13,1,0,1
TRAIN021,Cirrus,..\RETOUCHdata\Cirrus\TRAIN021,33,0,0,0
TRAIN053,Topcon,..\RETOUCHdata\Topcon\TRAIN053,125,0,0,0
TRAIN024,Cirrus,..\RETOUCHdata\Cirrus\TRAIN024,125,0,0,0
TRAIN018,Cirrus,..\RETOUCHdata\Cirrus\TRAIN018,117,0,0,0
TRAIN028,Spectralis,..\RETOUCHdata\Spectralis\TRAIN028,40,0,0,0
TRAIN026,Spectralis,..\RETOUCHdata\Spectralis\TRAIN026,5,0,0,0
TRAIN059,Topcon,..\RETOUCHdata\Topcon\TRAIN059,57,1,0,0
TRAIN051,Topcon,..\RETOUCHdata\Topcon\TRAIN051,33,0,0,0
TRAIN070,Topcon,..\RETOUCHdata\Topcon\TRAIN070,1,0,0,0
TRAIN052,Topcon,..\RETOUCHdata\Topcon\TRAIN052,83,1,0,0
TRAIN070,Topcon,..\RETOUCHdata\Topcon\TRAIN070,61,1,0,0
TRAIN060,Topcon,..\RETOUCHdata\Topcon\TRAIN060,6,0,0,0
TRAIN013,Cirrus,..\RETOUCHdata\Cirrus\TRAIN013,94,0,0,0
TRAIN070,Topcon,..\RETOUCHdata\Topcon\TRAIN070,43,1,0,0
TRAIN054,Topcon,..\RETOUCHdata\Topcon\TRAIN054,80,0,0,0
TRAIN001,Cirrus,..\RETOUCHdata\Cirrus\TRAIN001,109,0,0,0
TRAIN019,Cirrus,..\RETOUCHdata\Cirrus\TRAIN019,47,0,0,0
TRAIN017,Cirrus,..\RETOUCHdata\Cirrus\TRAIN017,120,0,0,0
TRAIN023,Cirrus,..\RETOUCHdata\Cirrus\TRAIN023,93,0,0,0
TRAIN021,Cirrus,..\RETOUCHdata\Cirrus\TRAIN021,114,0,0,0
TRAIN017,Cirrus,..\RETOUCHdata\Cirrus\TRAIN017,64,1,0,1
TRAIN013,Cirrus,..\RETOUCHdata\Cirrus\TRAIN013,11,0,0,0
TRAIN054,Topcon,..\RETOUCHdata\Topcon\TRAIN054,18,0,0,0
TRAIN029,Spectralis,..\RETOUCHdata\Spectralis\TRAIN029,32,1,0,0
TRAIN065,Topcon,..\RETOUCHdata\Topcon\TRAIN065,8,1,0,0
TRAIN054,Topcon,..\RETOUCHdata\Topcon\TRAIN054,40,1,0,0
TRAIN025,Spectralis,..\RETOUCHdata\Spectralis\TRAIN025,40,0,0,0
TRAIN052,Topcon,..\RETOUCHdata\Topcon\TRAIN052,14,0,0,0
TRAIN051,Topcon,..\RETOUCHdata\Topcon\TRAIN051,4,0,0,0
TRAIN040,Spectralis,..\RETOUCHdata\Spectralis\TRAIN040,45,0,0,0
TRAIN004,Cirrus,..\RETOUCHdata\Cirrus\TRAIN004,62,1,1,1
TRAIN043,Spectralis,..\RETOUCHdata\Spectralis\TRAIN043,27,1,1,1
TRAIN011,Cirrus,..\RETOUCHdata\Cirrus\TRAIN011,121,0,0,0
TRAIN018,Cirrus,..\RETOUCHdata\Cirrus\TRAIN018,126,0,0,0
TRAIN060,Topcon,..\RETOUCHdata\Topcon\TRAIN060,115,0,0,0
TRAIN007,Cirrus,..\RETOUCHdata\Cirrus\TRAIN007,77,1,0,0
TRAIN035,Spectralis,..\RETOUCHdata\Spectralis\TRAIN035,35,0,1,1
TRAIN018,Cirrus,..\RETOUCHdata\Cirrus\TRAIN018,12,0,0,0
TRAIN004,Cirrus,..\RETOUCHdata\Cirrus\TRAIN004,115,0,1,0
TRAIN057,Topcon,..\RETOUCHdata\Topcon\TRAIN057,22,0,1,1
TRAIN019,Cirrus,..\RETOUCHdata\Cirrus\TRAIN019,97,0,0,0
TRAIN069,Topcon,..\RETOUCHdata\Topcon\TRAIN069,75,0,0,1
TRAIN023,Cirrus,..\RETOUCHdata\Cirrus\TRAIN023,113,0,0,0
TRAIN032,Spectralis,..\RETOUCHdata\Spectralis\TRAIN032,16,1,1,0
TRAIN032,Spectralis,..\RETOUCHdata\Spectralis\TRAIN032,30,1,1,0
TRAIN031,Spectralis,..\RETOUCHdata\Spectralis\TRAIN031,22,0,0,1
TRAIN043,Spectralis,..\RETOUCHdata\Spectralis\TRAIN043,36,0,1,1
TRAIN002,Cirrus,..\RETOUCHdata\Cirrus\TRAIN002,16,0,0,0
TRAIN069,Topcon,..\RETOUCHdata\Topcon\TRAIN069,112,0,0,0
TRAIN021,Cirrus,..\RETOUCHdata\Cirrus\TRAIN021,9,0,0,0
TRAIN029,Spectralis,..\RETOUCHdata\Spectralis\TRAIN029,43,0,0,0
TRAIN050,Topcon,..\RETOUCHdata\Topcon\TRAIN050,18,0,0,0
TRAIN018,Cirrus,..\RETOUCHdata\Cirrus\TRAIN018,22,0,0,0
TRAIN013,Cirrus,..\RETOUCHdata\Cirrus\TRAIN013,107,0,0,0
TRAIN024,Cirrus,..\RETOUCHdata\Cirrus\TRAIN024,98,0,0,0
TRAIN019,Cirrus,..\RETOUCHdata\Cirrus\TRAIN019,91,0,0,0
TRAIN031,Spectralis,..\RETOUCHdata\Spectralis\TRAIN031,46,0,0,0
TRAIN028,Spectralis,..\RETOUCHdata\Spectralis\TRAIN028,28,0,1,1
TRAIN029,Spectralis,..\RETOUCHdata\Spectralis\TRAIN029,33,1,0,0
TRAIN004,Cirrus,..\RETOUCHdata\Cirrus\TRAIN004,18,0,1,1
