image_name,vendor,root,slice,is_IRF,is_SRF,is_PED
TRAIN002,Cirrus,..\RETOUCHdata\Cirrus\TRAIN002,56,1,0,0
TRAIN009,Cirrus,..\RETOUCHdata\Cirrus\TRAIN009,122,0,0,0
TRAIN049,Topcon,..\RETOUCHdata\Topcon\TRAIN049,126,0,0,0
TRAIN046,Spectralis,..\RETOUCHdata\Spectralis\TRAIN046,19,1,0,1
TRAIN005,Cirrus,..\RETOUCHdata\Cirrus\TRAIN005,90,0,1,1
TRAIN061,Topcon,..\RETOUCHdata\Topcon\TRAIN061,10,0,0,0
TRAIN011,Cirrus,..\RETOUCHdata\Cirrus\TRAIN011,83,1,0,1
TRAIN004,Cirrus,..\RETOUCHdata\Cirrus\TRAIN004,54,1,1,1
TRAIN034,Spectralis,..\RETOUCHdata\Spectralis\TRAIN034,45,0,0,0
TRAIN001,Cirrus,..\RETOUCHdata\Cirrus\TRAIN001,109,0,0,0
TRAIN002,Cirrus,..\RETOUCHdata\Cirrus\TRAIN002,92,1,0,0
TRAIN011,Cirrus,..\RETOUCHdata\Cirrus\TRAIN011,5,0,0,0
TRAIN058,Topcon,..\RETOUCHdata\Topcon\TRAIN058,18,0,0,0
TRAIN066,Topcon,..\RETOUCHdata\Topcon\TRAIN066,120,0,0,0
TRAIN059,Topcon,..\RETOUCHdata\Topcon\TRAIN059,84,1,0,0
TRAIN020,Cirrus,..\RETOUCHdata\Cirrus\TRAIN020,120,0,0,1
TRAIN069,Topcon,..\RETOUCHdata\Topcon\TRAIN069,32,0,0,0
TRAIN018,Cirrus,..\RETOUCHdata\Cirrus\TRAIN018,20,0,0,0
TRAIN013,Cirrus,..\RETOUCHdata\Cirrus\TRAIN013,19,0,1,0
TRAIN055,Topcon,..\RETOUCHdata\Topcon\TRAIN055,101,0,0,0
TRAIN024,Cirrus,..\RETOUCHdata\Cirrus\TRAIN024,6,0,0,0
TRAIN032,Spectralis,..\RETOUCHdata\Spectralis\TRAIN032,5,1,0,0
TRAIN010,Cirrus,..\RETOUCHdata\Cirrus\TRAIN010,93,0,0,0
TRAIN030,Spectralis,..\RETOUCHdata\Spectralis\TRAIN030,45,0,0,0
TRAIN010,Cirrus,..\RETOUCHdata\Cirrus\TRAIN010,51,1,0,0
TRAIN066,Topcon,..\RETOUCHdata\Topcon\TRAIN066,85,0,0,0
TRAIN011,Cirrus,..\RETOUCHdata\Cirrus\TRAIN011,85,1,0,1
TRAIN013,Cirrus,..\RETOUCHdata\Cirrus\TRAIN013,97,0,0,0
TRAIN051,Topcon,..\RETOUCHdata\Topcon\TRAIN051,77,1,0,0
TRAIN028,Spectralis,..\RETOUCHdata\Spectralis\TRAIN028,0,0,0,0
TRAIN009,Cirrus,..\RETOUCHdata\Cirrus\TRAIN009,64,1,0,0
TRAIN046,Spectralis,..\RETOUCHdata\Spectralis\TRAIN046,4,0,0,0
TRAIN003,Cirrus,..\RETOUCHdata\Cirrus\TRAIN003,41,0,0,0
TRAIN050,Topcon,..\RETOUCHdata\Topcon\TRAIN050,99,0,0,0
TRAIN054,Topcon,..\RETOUCHdata\Topcon\TRAIN054,108,0,0,0
TRAIN069,Topcon,..\RETOUCHdata\Topcon\TRAIN069,102,0,0,0
TRAIN022,Cirrus,..\RETOUCHdata\Cirrus\TRAIN022,88,1,0,0
TRAIN010,Cirrus,..\RETOUCHdata\Cirrus\TRAIN010,28,0,0,0
TRAIN066,Topcon,..\RETOUCHdata\Topcon\TRAIN066,12,0,0,0
TRAIN001,Cirrus,..\RETOUCHdata\Cirrus\TRAIN001,96,1,0,0
TRAIN043,Spectralis,..\RETOUCHdata\Spectralis\TRAIN043,14,0,1,1
TRAIN049,Topcon,..\RETOUCHdata\Topcon\TRAIN049,21,0,0,0
TRAIN002,Cirrus,..\RETOUCHdata\Cirrus\TRAIN002,22,0,0,0
TRAIN013,Cirrus,..\RETOUCHdata\Cirrus\TRAIN013,112,0,0,0
TRAIN006,Cirrus,..\RETOUCHdata\Cirrus\TRAIN006,3,0,0,0
TRAIN022,Cirrus,..\RETOUCHdata\Cirrus\TRAIN022,75,1,0,0
TRAIN003,Cirrus,..\RETOUCHdata\Cirrus\TRAIN003,95,0,0,0
TRAIN051,Topcon,..\RETOUCHdata\Topcon\TRAIN051,99,0,0,0
TRAIN006,Cirrus,..\RETOUCHdata\Cirrus\TRAIN006,81,0,0,0
TRAIN002,Cirrus,..\RETOUCHdata\Cirrus\TRAIN002,47,0,0,0
TRAIN018,Cirrus,..\RETOUCHdata\Cirrus\TRAIN018,87,0,0,0
TRAIN069,Topcon,..\RETOUCHdata\Topcon\TRAIN069,19,0,0,0
TRAIN052,Topcon,..\RETOUCHdata\Topcon\TRAIN052,121,0,0,0
TRAIN003,Cirrus,..\RETOUCHdata\Cirrus\TRAIN003,49,0,0,0
TRAIN026,Spectralis,..\RETOUCHdata\Spectralis\TRAIN026,11,0,0,0
TRAIN015,Cirrus,..\RETOUCHdata\Cirrus\TRAIN015,95,0,1,1
TRAIN004,Cirrus,..\RETOUCHdata\Cirrus\TRAIN004,84,0,1,1
TRAIN007,Cirrus,..\RETOUCHdata\Cirrus\TRAIN007,34,0,0,0
TRAIN002,Cirrus,..\RETOUCHdata\Cirrus\TRAIN002,60,1,0,0
TRAIN056,Topcon,..\RETOUCHdata\Topcon\TRAIN056,54,0,0,0
TRAIN052,Topcon,..\RETOUCHdata\Topcon\TRAIN052,5,0,0,0
TRAIN006,Cirrus,..\RETOUCHdata\Cirrus\TRAIN006,43,1,0,0
TRAIN043,Spectralis,..\RETOUCHdata\Spectralis\TRAIN043,47,0,0,0
TRAIN004,Cirrus,..\RETOUCHdata\Cirrus\TRAIN004,127,0,1,0
TRAIN007,Cirrus,..\RETOUCHdata\Cirrus\TRAIN007,22,0,0,0
TRAIN018,Cirrus,..\RETOUCHdata\Cirrus\TRAIN018,0,0,0,0
TRAIN006,Cirrus,..\RETOUCHdata\Cirrus\TRAIN006,119,0,0,0
TRAIN058,Topcon,..\RETOUCHdata\Topcon\TRAIN058,126,0,0,0
TRAIN047,Spectralis,..\RETOUCHdata\Spectralis\TRAIN047,26,0,0,0
TRAIN069,Topcon,..\RETOUCHdata\Topcon\TRAIN069,106,0,0,0
TRAIN056,Topcon,..\RETOUCHdata\Topcon\TRAIN056,11,1,0,0
TRAIN040,Spectralis,..\RETOUCHdata\Spectralis\TRAIN040,44,0,0,0
TRAIN003,Cirrus,..\RETOUCHdata\Cirrus\TRAIN003,59,1,0,0
TRAIN018,Cirrus,..\RETOUCHdata\Cirrus\TRAIN018,50,0,0,0
TRAIN038,Spectralis,..\RETOUCHdata\Spectralis\TRAIN038,25,0,1,1
TRAIN024,Cirrus,..\RETOUCHdata\Cirrus\TRAIN024,98,0,0,0
TRAIN026,Spectralis,..\RETOUCHdata\Spectralis\TRAIN026,19,1,0,0
TRAIN003,Cirrus,..\RETOUCHdata\Cirrus\TRAIN003,18,0,0,0
TRAIN006,Cirrus,..\RETOUCHdata\Cirrus\TRAIN006,78,1,0,0
TRAIN049,Topcon,..\RETOUCHdata\Topcon\TRAIN049,69,0,0,1
TRAIN026,Spectralis,..\RETOUCHdata\Spectralis\TRAIN026,25,1,0,0
